,Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
211,212,212,Detroit Mercy,Horizon,13-19,5-13,0-1,8-5,0-2,0-4,3-8,10-5
212,213,214,Howard,MEAC,19-13,6-8,4-3,9-2,0-4,0-0,4-6,15-3
213,214,213,Murray St.,MVC,16-15,3-11,3-2,10-2,1-1,0-8,4-4,11-2
214,215,217,Rider,MAAC,15-14,8-6,0-3,7-5,1-2,0-1,0-4,14-7
215,216,218,FIU,C-USA,12-18,3-10,0-1,9-7,0-6,2-1,4-6,6-5
216,217,215,North Dakota St.,Summit League,14-17,5-10,2-3,7-4,0-5,0-3,2-2,12-7
217,218,216,UNI,MVC,13-18,4-7,2-3,7-8,0-1,0-6,3-9,10-2
218,219,228,Morehead St.,OVC,18-12,8-9,0-1,10-2,1-3,0-2,2-1,15-6
219,220,221,Florida St.,ACC,9-23,4-7,0-5,5-11,2-9,0-8,1-3,6-3
220,221,219,SIUE,OVC,16-14,7-8,3-1,6-5,0-1,1-0,2-3,13-10
221,222,220,Minnesota,Big Ten,9-22,1-9,2-2,6-11,1-10,2-10,1-2,5-0
222,223,223,La Salle,Atlantic 10,15-19,5-8,2-3,8-8,0-3,0-3,7-7,8-6
223,224,225,Delaware,CAA,16-16,4-10,3-1,9-5,0-2,1-3,5-7,10-4
224,225,222,Oregon St.,Pac-12,10-21,1-10,0-4,9-7,0-8,1-9,3-2,6-2
225,226,224,Sacramento St.,Big Sky,12-18,5-10,0-4,7-4,0-1,0-4,1-10,11-3
226,227,227,Mercer,SoCon,12-19,4-10,3-2,5-7,0-0,1-4,0-11,11-4
227,228,226,Wofford,SoCon,14-16,4-11,1-1,9-4,1-1,0-4,4-6,9-5
228,229,232,UMES,MEAC,14-13,7-9,1-1,6-3,0-3,1-1,1-5,12-4
229,230,231,Northern Ariz.,Big Sky,10-23,3-13,3-2,4-8,0-4,0-4,5-7,5-8
230,231,233,Campbell,Big South,14-18,4-10,4-2,6-6,0-1,0-0,4-9,10-8
231,232,229,Western Caro.,SoCon,15-16,6-9,3-2,6-5,0-1,0-5,3-6,12-4
232,233,236,Jacksonville,ASUN,10-16,6-10,0-0,4-6,1-2,0-2,2-7,7-5
233,234,230,San Diego,WCC,9-20,3-8,0-3,6-9,0-5,1-2,3-8,5-5
234,235,234,South Carolina,SEC,11-21,4-8,0-5,7-8,1-9,2-4,3-8,5-0
235,236,238,North Florida,ASUN,12-17,3-14,0-1,9-2,0-4,0-3,4-3,8-7
236,237,235,Northern Colo.,Big Sky,12-19,3-12,3-1,6-6,0-3,1-3,0-9,11-4
237,238,237,Purdue Fort Wayne,Horizon,15-15,7-8,1-1,7-6,0-2,1-1,2-7,12-5
238,239,240,UMBC,America East,17-14,5-10,0-0,12-4,0-1,0-4,1-4,16-5
239,240,243,Georgetown,Big East,7-25,1-11,1-2,5-12,0-12,1-7,1-4,5-2
240,241,241,Jacksonville St.,ASUN,10-18,3-12,1-1,6-5,0-3,0-4,1-5,9-6
241,242,239,North Ala.,ASUN,15-15,8-10,1-1,6-4,0-2,1-2,4-7,10-4
242,243,242,Southeast Mo. St.,OVC,17-17,5-11,5-2,7-4,0-2,0-1,2-5,15-9
243,244,246,Niagara,MAAC,15-15,4-10,3-1,8-4,0-2,0-3,3-1,12-9
244,245,244,Alcorn,SWAC,18-14,10-10,1-2,7-2,0-3,1-4,2-3,15-4
245,246,248,Army West Point,Patriot,15-16,7-8,0-3,8-5,0-0,0-3,1-3,14-10
246,247,247,Robert Morris,Horizon,14-17,5-10,0-3,9-4,0-1,0-2,3-8,11-6
247,248,245,Western Ill.,Summit League,13-14,5-9,0-1,8-4,0-2,0-1,0-6,13-5
248,249,251,UT Arlington,WAC,8-21,4-9,1-4,3-8,0-4,2-3,4-11,2-3
249,250,254,Winthrop,Big South,13-17,4-11,1-2,8-4,0-2,0-2,4-7,9-6
250,251,250,UT Martin,OVC,15-14,4-11,1-1,10-2,0-1,0-2,0-3,15-8
251,252,253,Idaho St.,Big Sky,9-21,4-12,0-2,5-7,0-0,0-6,3-6,6-9
252,253,255,USC Upstate,Big South,14-16,4-12,1-2,9-2,0-2,0-2,4-8,10-4
253,254,249,Portland St.,Big Sky,10-19,5-9,1-3,4-7,0-2,0-3,4-8,6-6
254,255,252,NIU,MAC,12-18,7-10,1-2,4-6,0-3,2-4,0-7,10-4
255,256,259,Boston U.,Patriot,14-17,6-11,0-2,8-4,0-1,0-2,0-5,14-9
256,257,256,Southeastern La.,Southland,15-14,7-8,1-2,7-4,0-1,0-3,2-4,13-6
